City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kudymkar,RU,59.0173,54.656,40.75,94,100,10.8,overcast clouds
1,Airai,TL,-8.9266,125.4092,64.09,89,99,0.16,overcast clouds
2,Chuy,UY,-33.6971,-53.4616,71.19,73,99,14.52,overcast clouds
3,Ushuaia,AR,-54.8,-68.3,46.06,53,0,19.57,clear sky
4,Teguldet,RU,57.3064,88.1667,25.2,61,53,10.18,broken clouds
5,Longyearbyen,SJ,78.2186,15.6401,19.24,79,20,9.22,few clouds
6,Port Alfred,ZA,-33.5906,26.891,69.78,70,0,20.38,clear sky
7,Saint-Georges,GD,12.0564,-61.7485,85.68,70,20,13.8,few clouds
8,Busselton,AU,-33.65,115.3333,52.05,89,65,8.14,broken clouds
9,Rikitea,PF,-23.1203,-134.9692,74.84,82,99,20.54,light rain
10,Hobart,AU,-42.8794,147.3294,52.27,65,40,4.0,scattered clouds
11,Nome,US,64.5011,-165.4064,8.67,78,1,3.44,clear sky
12,Cape Town,ZA,-33.9258,18.4232,73.89,49,51,5.01,broken clouds
13,Barrow,US,71.2906,-156.7887,14.02,79,90,5.75,overcast clouds
14,San Patricio,US,28.017,-97.5169,65.82,30,0,4.36,clear sky
15,Yellowknife,CA,62.456,-114.3525,27.41,100,73,12.68,broken clouds
16,Victoria,HK,22.2855,114.1577,76.32,81,49,1.01,light rain
17,Saskylakh,RU,71.9167,114.0833,4.35,93,100,11.03,overcast clouds
18,Nishihara,JP,26.1842,127.7558,74.48,69,20,9.22,few clouds
19,Arraial Do Cabo,BR,-22.9661,-42.0278,71.46,83,90,5.75,overcast clouds
20,Muisne,EC,0.6,-80.0333,75.31,73,80,8.1,broken clouds
21,Seymchan,RU,62.8833,152.4333,6.8,87,100,7.31,overcast clouds
22,Atar,MR,20.5169,-13.0499,90.82,22,100,0.94,overcast clouds
23,Puro,PH,12.4841,123.3827,80.58,77,87,14.25,overcast clouds
24,Thompson,CA,55.7435,-97.8558,30.25,91,11,6.17,few clouds
25,Banda Aceh,ID,5.5577,95.3222,79.16,81,100,4.07,overcast clouds
26,Mahebourg,MU,-20.4081,57.7,78.26,73,60,5.64,broken clouds
27,Tura,IN,25.5198,90.2201,66.31,61,0,2.46,clear sky
28,Albany,US,42.6001,-73.9662,54.3,94,100,5.91,overcast clouds
29,South Sioux City,US,42.4739,-96.4136,41.74,86,1,4.61,clear sky
30,Upernavik,GL,72.7868,-56.1549,22.8,56,100,6.29,overcast clouds
31,Ponta Do Sol,PT,32.6667,-17.1,81.72,75,91,9.93,overcast clouds
32,Hermanus,ZA,-34.4187,19.2345,75.79,68,8,13.49,clear sky
33,Bethel,US,41.3712,-73.414,61.5,95,90,1.99,overcast clouds
34,Fortuna,US,40.5982,-124.1573,58.35,75,90,0.0,overcast clouds
35,Vanimo,PG,-2.6741,141.3028,80.24,85,64,3.04,broken clouds
36,Noumea,NC,-22.2763,166.4572,66.18,83,6,7.27,clear sky
37,Bredasdorp,ZA,-34.5322,20.0403,75.27,54,41,11.97,scattered clouds
38,Jamestown,US,42.097,-79.2353,49.32,100,90,1.99,overcast clouds
39,Calamar,CO,10.2511,-74.9146,84.15,83,100,7.16,overcast clouds
40,Atuona,PF,-9.8,-139.0333,76.91,71,23,12.5,few clouds
41,Sterling,US,39.0062,-77.4286,57.34,96,90,8.01,overcast clouds
42,Kapaa,US,22.0752,-159.319,71.58,82,1,9.22,clear sky
43,Mataura,NZ,-46.1927,168.8643,52.7,54,20,7.9,few clouds
44,Ancud,CL,-41.8697,-73.8203,54.93,48,1,8.01,clear sky
45,Giyani,ZA,-23.3025,30.7187,94.8,21,39,10.8,scattered clouds
46,Shenjiamen,CN,29.9576,122.298,64.18,77,0,10.11,clear sky
47,Hilo,US,19.7297,-155.09,66.25,68,1,8.05,clear sky
48,Pisco,PE,-13.7,-76.2167,63.01,88,50,4.45,scattered clouds
49,Pecos,US,31.4229,-103.4932,61.3,42,1,0.0,clear sky
50,Avarua,CK,-21.2078,-159.775,71.65,73,100,13.8,overcast clouds
51,Tiksi,RU,71.6872,128.8694,-3.66,98,100,7.09,overcast clouds
52,Ayame,CI,5.6083,-3.1563,85.66,66,100,3.71,moderate rain
53,Yeppoon,AU,-23.1333,150.7333,74.98,88,3,8.05,clear sky
54,Vaini,TO,-21.2,-175.2,71.76,94,20,4.61,few clouds
55,Fairbanks,US,64.8378,-147.7164,26.56,85,75,8.05,broken clouds
56,Lavrentiya,RU,65.5833,-171.0,10.02,79,43,5.97,scattered clouds
57,Akranes,IS,64.3218,-22.0749,46.18,80,13,12.46,few clouds
58,Biltine,TD,14.5333,20.9167,97.14,10,97,3.13,overcast clouds
59,Half Moon Bay,US,37.4636,-122.4286,60.1,94,90,1.01,mist
60,Beringovskiy,RU,63.05,179.3167,11.17,95,100,18.68,overcast clouds
61,Tasiilaq,GL,65.6145,-37.6368,26.76,66,18,7.0,few clouds
62,Juneau,US,58.3019,-134.4197,41.05,91,90,12.66,light rain
63,Mackay,AU,-21.15,149.2,76.05,84,10,8.52,clear sky
64,Puerto Ayora,EC,-0.7393,-90.3518,71.56,84,89,7.96,overcast clouds
65,Garowe,SO,8.4054,48.4845,85.44,40,95,15.32,overcast clouds
66,Doka,SD,13.5167,35.7667,94.14,27,37,1.3,scattered clouds
67,Caravelas,BR,-17.7125,-39.2481,83.35,57,60,7.34,broken clouds
68,Novomalorossiyskaya,RU,45.6348,39.8948,54.41,55,0,12.57,clear sky
69,Mitsamiouli,KM,-11.3847,43.2844,79.05,68,30,3.0,scattered clouds
70,Padang,ID,-0.9492,100.3543,75.25,88,100,2.39,overcast clouds
71,Punta Arenas,CL,-53.15,-70.9167,50.11,43,0,19.57,clear sky
72,Grindavik,IS,63.8424,-22.4338,45.07,81,0,5.75,clear sky
73,Dahod,IN,22.8333,74.2667,73.27,36,78,5.32,broken clouds
74,Bluff,NZ,-46.6,168.3333,54.61,59,5,17.63,clear sky
75,Pacific Grove,US,36.6177,-121.9166,58.28,94,90,1.01,mist
76,Port Hardy,CA,50.6996,-127.4199,39.94,79,100,3.87,overcast clouds
77,Dunedin,NZ,-45.8742,170.5036,59.81,90,0,11.01,clear sky
78,Cherskiy,RU,68.75,161.3,-5.96,99,100,4.03,overcast clouds
79,Saint Anthony,US,45.0205,-93.218,41.72,95,20,0.0,mist
80,Melk,AT,48.2274,15.3319,63.21,64,87,5.61,overcast clouds
81,Nosivka,UA,50.9315,31.5828,52.39,57,1,8.3,clear sky
82,Pevek,RU,69.7008,170.3133,0.68,94,100,5.7,overcast clouds
83,Bundaberg,AU,-24.85,152.35,77.22,93,75,3.0,broken clouds
84,Lebu,CL,-37.6167,-73.65,55.18,68,77,21.54,broken clouds
85,Kununurra,AU,-15.7667,128.7333,84.18,61,100,8.05,overcast clouds
86,Vancouver,CA,49.2497,-123.1193,42.57,85,0,1.01,clear sky
87,Hwange,ZW,-18.3693,26.5019,97.66,20,57,5.82,broken clouds
88,Erenhot,CN,43.6475,111.9767,36.77,57,96,7.36,overcast clouds
89,Fairlie,GB,55.756,-4.8556,54.41,80,13,4.0,few clouds
90,Bengkulu,ID,-3.8004,102.2655,79.2,88,100,6.06,moderate rain
91,Fukue,JP,32.6881,128.8419,63.63,71,68,3.71,broken clouds
92,Shirokiy,RU,49.758,129.523,28.72,44,100,12.86,overcast clouds
93,Okhotsk,RU,59.3833,143.3,13.59,71,2,18.7,clear sky
94,Saint-Pierre,RE,-21.3393,55.4781,80.24,72,0,4.61,clear sky
95,Aykhal,RU,66.0,111.5,13.57,96,100,8.12,overcast clouds
96,Saint George,US,37.1041,-113.5841,58.53,76,1,0.0,clear sky
97,Nizhniy Tsasuchey,RU,50.5167,115.1333,24.01,36,0,2.42,clear sky
98,Yining,CN,29.0361,114.5636,62.24,76,31,2.01,scattered clouds
99,Areosa,PT,41.7178,-8.8571,67.32,80,98,8.7,overcast clouds
100,Opuwo,NA,-18.0607,13.84,90.81,20,93,13.47,overcast clouds
101,Kaitangata,NZ,-46.2817,169.8464,53.78,79,83,4.5,broken clouds
102,Pastavy,BY,55.1168,26.8326,53.42,68,11,12.55,few clouds
103,Codrington,AU,-38.2667,141.9667,43.83,90,0,6.31,clear sky
104,Vaitape,PF,-16.5167,-151.75,77.67,73,4,17.36,light rain
105,Netrakona,BD,24.8833,90.7167,72.77,61,6,8.61,clear sky
106,Sao Filipe,CV,14.8961,-24.4956,80.2,73,100,11.48,overcast clouds
107,Yulara,AU,-25.2406,130.9889,57.04,100,90,11.5,overcast clouds
108,Butaritari,KI,3.0707,172.7902,81.59,78,90,9.13,light rain
109,Zamboanga,PH,6.9103,122.0739,80.38,84,93,0.43,overcast clouds
110,Saint-Philippe,RE,-21.3585,55.7679,80.15,82,59,6.44,light rain
111,Kyzyl-Suu,KG,42.3414,78.0056,36.5,54,0,10.33,clear sky
112,Tirumala,IN,13.6833,79.35,71.78,89,87,3.91,overcast clouds
113,Novikovo,RU,51.1537,37.8879,49.24,65,1,5.19,clear sky
114,Sirohi,IN,24.8833,72.8667,74.14,27,4,5.28,clear sky
115,Pangody,RU,65.85,74.4859,14.54,93,100,17.13,light snow
116,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,83,100,11.61,overcast clouds
117,Rovaniemi,FI,66.5,25.7167,40.41,100,90,12.66,overcast clouds
118,Hailar,CN,49.2,119.7,28.65,48,7,6.6,clear sky
119,Nikolskoye,RU,59.7035,30.7861,48.87,87,63,5.91,broken clouds
120,Aranos,NA,-24.1333,19.1167,86.65,10,0,4.03,clear sky
121,Matara,LK,5.9485,80.5353,77.79,92,98,6.6,overcast clouds
122,Gravdal,NO,68.1214,13.5031,44.01,80,100,11.63,light rain
123,Souillac,MU,-20.5167,57.5167,78.37,71,21,8.99,few clouds
124,Canon City,US,38.441,-105.2424,58.12,28,1,5.99,clear sky
125,Viiratsi,EE,58.36,25.6372,54.86,72,47,7.18,scattered clouds
126,Ahipara,NZ,-35.1667,173.1667,62.13,97,100,18.37,overcast clouds
127,San Policarpo,PH,12.1791,125.5072,80.89,81,100,15.61,overcast clouds
128,Salalah,OM,17.0151,54.0924,84.29,65,20,5.75,few clouds
129,Iqaluit,CA,63.7506,-68.5145,40.73,65,75,11.99,light rain
130,Piacabucu,BR,-10.4056,-36.4344,83.61,58,47,9.93,scattered clouds
131,Port Elizabeth,ZA,-33.918,25.5701,73.09,69,5,17.65,clear sky
132,Namibe,AO,-15.1961,12.1522,74.01,66,56,11.59,broken clouds
133,New Norfolk,AU,-42.7826,147.0587,51.93,59,96,1.99,overcast clouds
134,Katangli,RU,51.7102,143.2326,32.47,94,100,22.41,snow
135,Tuktoyaktuk,CA,69.4541,-133.0374,17.19,94,41,7.58,scattered clouds
136,Praia Da Vitoria,PT,38.7333,-27.0667,71.76,96,100,16.8,overcast clouds
137,Budogoshch,RU,59.2816,32.4707,46.35,91,66,6.67,broken clouds
138,Snezhnogorsk,RU,69.1933,33.2531,20.98,91,100,6.55,overcast clouds
139,Sitka,US,57.0531,-135.33,46.29,66,75,13.8,broken clouds
140,Novokayakent,RU,42.3937,47.9861,50.11,61,44,5.61,scattered clouds
141,Kodiak,US,57.79,-152.4072,44.08,95,100,29.15,moderate rain
142,Esperance,AU,-33.8667,121.9,57.07,73,0,15.41,clear sky
143,Keller,US,32.9346,-97.2517,53.82,56,1,4.0,clear sky
144,Klaksvik,FO,62.2266,-6.589,47.32,85,100,11.18,overcast clouds
145,Waipawa,NZ,-41.4122,175.5153,58.46,86,100,15.32,light rain
146,Acaponeta,MX,22.4964,-105.3594,73.27,78,0,3.31,clear sky
147,Timmins,CA,48.4669,-81.3331,39.74,78,94,4.85,overcast clouds
148,Hasaki,JP,35.7333,140.8333,61.2,56,53,7.81,broken clouds
149,Cidreira,BR,-30.1811,-50.2056,71.1,76,87,19.3,overcast clouds
150,Faanui,PF,-16.4833,-151.75,77.65,73,5,17.31,light rain
151,Utamysh,RU,42.4072,47.7511,46.18,76,53,4.36,broken clouds
152,Bambous Virieux,MU,-20.3428,57.7575,78.22,73,66,2.39,broken clouds
153,Hambantota,LK,6.1241,81.1185,80.33,80,97,4.56,light rain
154,Biryusinsk,RU,55.9634,97.8235,40.87,66,99,8.68,overcast clouds
155,La Union,PE,-5.4,-80.75,72.1,62,72,8.08,broken clouds
156,East London,ZA,-33.0153,27.9116,67.14,72,20,20.71,few clouds
157,Vao,NC,-22.6667,167.4833,70.68,75,7,8.66,clear sky
158,Mayo,US,38.8876,-76.5119,59.95,90,1,3.0,clear sky
159,Qaanaaq,GL,77.484,-69.3632,1.26,55,0,9.1,clear sky
160,Constitucion,CL,-35.3333,-72.4167,62.74,60,100,10.13,overcast clouds
161,Bonthe,SL,7.5264,-12.505,76.17,86,100,2.66,overcast clouds
162,Ngaoundere,CM,7.3167,13.5833,77.67,63,98,5.23,overcast clouds
163,Rio Grande,BR,-32.035,-52.0986,75.31,74,100,20.04,overcast clouds
164,Omsukchan,RU,62.5333,155.8,0.9,98,100,4.27,overcast clouds
165,Tabou,CI,4.423,-7.3528,81.25,77,100,8.25,moderate rain
166,Harper,LR,4.375,-7.7169,81.23,76,100,7.81,light rain
167,Aklavik,CA,68.2191,-135.0107,9.39,94,21,4.94,few clouds
168,Sorland,NO,67.667,12.6934,46.89,88,100,10.25,overcast clouds
169,Bani,DO,18.2833,-70.3333,84.74,62,7,5.53,clear sky
170,Williston,US,48.147,-103.618,43.21,83,47,3.0,scattered clouds
171,Dikson,RU,73.5069,80.5464,8.55,91,100,16.98,overcast clouds
172,Endicott,US,42.0984,-76.0494,53.04,90,90,1.99,overcast clouds
173,Aswan,EG,24.0934,32.907,98.87,18,77,3.71,broken clouds
174,Tumkur,IN,13.3422,77.1017,74.44,89,94,6.44,overcast clouds
175,Portland,US,45.5234,-122.6762,52.38,68,1,1.01,clear sky
176,Todos Santos,MX,23.45,-110.2167,75.0,80,4,3.69,clear sky
177,Bakchar,RU,57.0186,82.0711,27.23,50,100,10.16,overcast clouds
178,Alofi,NU,-19.0595,-169.9187,76.53,66,100,13.65,overcast clouds
179,Rawson,AR,-43.3002,-65.1023,55.49,38,2,29.71,clear sky
180,Bud,US,39.447,-86.1758,53.69,95,100,10.54,overcast clouds
181,Green River,US,41.5286,-109.4662,39.6,56,100,4.79,overcast clouds
182,Vila Velha,BR,-20.3297,-40.2925,73.35,88,75,3.44,broken clouds
183,Banjar,ID,-8.19,114.9675,80.46,88,100,1.16,overcast clouds
184,Broken Hill,AU,-31.95,141.4333,55.81,28,68,6.64,broken clouds
185,Castro,BR,-24.7911,-50.0119,71.04,67,44,9.01,scattered clouds
186,Auki,SB,-8.7676,160.7034,78.17,88,67,4.32,broken clouds
187,Leningradskiy,RU,69.3833,178.4167,-8.1,97,100,6.08,overcast clouds
188,Mar Del Plata,AR,-38.0023,-57.5575,77.02,92,0,15.99,clear sky
189,Cockburn Town,TC,21.4612,-71.1419,84.16,70,40,10.36,scattered clouds
190,Letlhakane,BW,-21.4167,25.5833,88.05,29,73,2.57,broken clouds
191,Leua,SK,48.2156,18.6071,63.5,48,6,14.2,clear sky
192,Beyneu,KZ,45.3167,55.2,55.22,51,12,0.4,few clouds
193,Katiola,CI,8.1333,-5.1,84.83,52,94,2.86,light rain
194,Lata,PT,40.1629,-8.3327,67.93,71,100,6.46,overcast clouds
195,Slavuta,UA,50.3016,26.8651,60.94,45,4,12.95,clear sky
196,Imeni Poliny Osipenko,RU,52.4201,136.4853,25.97,84,44,8.1,scattered clouds
197,Ilulissat,GL,69.2167,-51.1,35.62,51,75,18.41,broken clouds
198,Micheweni,TZ,-4.9667,39.8333,81.52,69,62,11.34,broken clouds
199,Clyde River,CA,70.4692,-68.5914,29.86,99,100,5.75,snow
200,Novyy Urengoy,RU,66.0833,76.6333,13.14,94,99,14.56,overcast clouds
201,Petatlan,MX,17.5167,-101.2667,76.8,82,2,2.75,clear sky
202,Garden City,US,42.3256,-83.331,51.94,95,90,1.01,mist
203,Berlevag,NO,70.8578,29.0864,38.08,82,92,11.34,overcast clouds
204,Saldanha,ZA,-33.0117,17.9442,75.25,74,100,15.32,overcast clouds
205,Nouadhibou,MR,20.931,-17.0347,80.58,54,5,9.22,clear sky
206,Krasnoselkup,RU,65.7,82.4667,2.64,100,82,3.53,broken clouds
207,Nagyhegyes,HU,47.5395,21.3444,62.74,34,6,3.22,clear sky
208,Kahului,US,20.8947,-156.47,72.84,81,1,5.75,clear sky
209,Kalmunai,LK,7.4167,81.8167,80.22,80,60,8.72,broken clouds
210,Bathsheba,BB,13.2167,-59.5167,86.61,66,40,17.27,scattered clouds
211,Alice Springs,AU,-23.7,133.8833,63.95,59,90,8.05,light rain
212,Carballo,ES,43.213,-8.691,64.09,80,100,7.11,overcast clouds
213,Southbridge,US,42.0751,-72.0334,56.59,97,100,1.99,overcast clouds
214,Forio,IT,40.7342,13.8646,69.78,75,45,6.87,scattered clouds
215,Telma,RU,52.6983,103.7097,31.21,88,100,5.64,overcast clouds
216,Jijiga,ET,9.35,42.8,72.39,38,9,17.2,clear sky
217,Panguiranan,PH,12.0699,123.3185,79.54,82,84,12.93,broken clouds
218,Norman Wells,CA,65.282,-126.8329,21.24,93,90,3.44,light snow
219,Luderitz,NA,-26.6481,15.1594,72.68,54,0,14.81,clear sky
220,Dingzhou,CN,38.5131,114.9956,53.71,57,3,1.39,light rain
221,Najran,SA,17.4924,44.1277,79.45,23,0,13.11,clear sky
222,Cocobeach,GA,1.0002,9.5823,84.13,78,100,9.57,light rain
223,Otjiwarongo,NA,-20.4637,16.6477,89.51,15,5,17.6,clear sky
224,Provideniya,RU,64.3833,-173.3,13.39,84,98,11.07,overcast clouds
225,Constantine,DZ,36.365,6.6147,71.38,32,100,6.17,overcast clouds
226,Shalinskoye,RU,55.7228,93.7594,37.74,62,100,12.8,overcast clouds
