City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Saint-Georges,GD,85.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
16,Victoria,HK,76.32,light rain,22.2855,114.1577,Mini Hotel Central
20,Muisne,EC,75.31,broken clouds,0.6,-80.0333,Quinta Samay
25,Banda Aceh,ID,79.16,overcast clouds,5.5577,95.3222,Sulthan Hotel International
26,Mahebourg,MU,78.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
31,Ponta Do Sol,PT,81.72,overcast clouds,32.6667,-17.1,Hotel do Campo
32,Hermanus,ZA,75.79,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
35,Vanimo,PG,80.24,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
37,Bredasdorp,ZA,75.27,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
39,Calamar,CO,84.15,overcast clouds,10.2511,-74.9146,Hostal Katyalex
40,Atuona,PF,76.91,few clouds,-9.8,-139.0333,Villa Enata
52,Ayame,CI,85.66,moderate rain,5.6083,-3.1563,Hotel Bossan
63,Mackay,AU,76.05,clear sky,-21.15,149.2,International Lodge Motel
65,Garowe,SO,85.44,overcast clouds,8.4054,48.4845,Curubo Hotel
67,Caravelas,BR,83.35,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
69,Mitsamiouli,KM,79.05,scattered clouds,-11.3847,43.2844,Foyer ADM
70,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
83,Bundaberg,AU,77.22,broken clouds,-24.85,152.35,Takalvan Motel
85,Kununurra,AU,84.18,overcast clouds,-15.7667,128.7333,Hotel Kununurra
90,Bengkulu,ID,79.2,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
94,Saint-Pierre,RE,80.24,clear sky,-21.3393,55.4781,Lindsey Hôtel
104,Vaitape,PF,77.67,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
106,Sao Filipe,CV,80.2,overcast clouds,14.8961,-24.4956,Hotel Xaguate
108,Butaritari,KI,81.59,light rain,3.0707,172.7902,Isles Sunset Lodge
109,Zamboanga,PH,80.38,overcast clouds,6.9103,122.0739,Two Seasons Executive Suites
110,Saint-Philippe,RE,80.15,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
116,Sao Joao Da Barra,BR,77.09,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
121,Matara,LK,77.79,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
123,Souillac,MU,78.37,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
127,San Policarpo,PH,80.89,overcast clouds,12.1791,125.5072,Agapita M. Nicart
128,Salalah,OM,84.29,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
130,Piacabucu,BR,83.61,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
150,Faanui,PF,77.65,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
152,Bambous Virieux,MU,78.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
153,Hambantota,LK,80.33,light rain,6.1241,81.1185,Bungalow 63
161,Bonthe,SL,76.17,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
162,Ngaoundere,CM,77.67,overcast clouds,7.3167,13.5833,Hotel Mentong Palace
163,Rio Grande,BR,75.31,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
165,Tabou,CI,81.25,moderate rain,4.423,-7.3528,hotêl doufoulougou
166,Harper,LR,81.23,light rain,4.375,-7.7169,Screensaver
169,Bani,DO,84.74,clear sky,18.2833,-70.3333,Hospedaje Henriquez
176,Todos Santos,MX,75.0,clear sky,23.45,-110.2167,Hotel California Todos Santos
178,Alofi,NU,76.53,overcast clouds,-19.0595,-169.9187,Taloa Heights
183,Banjar,ID,80.46,overcast clouds,-8.19,114.9675,The Hamsa Resort
186,Auki,SB,78.17,broken clouds,-8.7676,160.7034,Auki Motel
188,Mar Del Plata,AR,77.02,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
189,Cockburn Town,TC,84.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
190,Letlhakane,BW,88.05,broken clouds,-21.4167,25.5833,Motswedi Hotel P650
193,Katiola,CI,84.83,light rain,8.1333,-5.1,Auberge Residence Yebin
201,Petatlan,MX,76.8,clear sky,17.5167,-101.2667,Hotel California Petatlán
204,Saldanha,ZA,75.25,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
205,Nouadhibou,MR,80.58,clear sky,20.931,-17.0347,El Medina
209,Kalmunai,LK,80.22,broken clouds,7.4167,81.8167,VS Villa
210,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
221,Najran,SA,79.45,clear sky,17.4924,44.1277,محمد هادي ال فطيح
222,Cocobeach,GA,84.13,light rain,1.0002,9.5823,Hotel Esperance
228,Ibra,OM,84.61,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
236,Celestun,MX,79.3,few clouds,20.8667,-90.4,Posada Lilia
239,Melipilla,CL,82.81,clear sky,-33.7,-71.2167,Hotel Los Troncos
241,San Nicolas,PH,76.78,clear sky,18.1725,120.5953,NORTHVIEW Hotel
245,San Vicente,AR,80.19,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
248,Pangkalanbuun,ID,77.13,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
253,Mount Isa,AU,82.17,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
254,Boa Vista,BR,87.78,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
255,Oistins,BB,86.09,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
265,Kavieng,PG,83.53,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
268,Riyadh,SA,86.14,broken clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
271,Barreirinhas,BR,89.53,scattered clouds,-2.7469,-42.8264,Gran Lençóis Flat Residence
272,Ambilobe,MG,82.22,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
274,Luwuk,ID,78.31,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
276,Georgetown,MY,77.9,light rain,5.4112,100.3354,Cititel Penang
278,Buin,CL,79.12,clear sky,-33.7333,-70.75,Paihuen
284,George Town,MY,77.9,light rain,5.4112,100.3354,Cititel Penang
289,Bitung,ID,76.05,overcast clouds,1.4451,125.1824,K2 Lembeh
293,Tevaitoa,PF,77.9,few clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
296,Pyapon,MM,78.39,overcast clouds,16.2833,95.6833,Aung Naing Thu Motel
298,San Juan,AR,83.53,clear sky,-31.5375,-68.5364,Hotel Provincial
301,Metro,ID,78.12,broken clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
302,Kanigoro,ID,75.92,overcast clouds,-8.13,112.219,Musafer Villa ( Villa Erlin )
303,Zamboanguita,PH,80.47,overcast clouds,9.1025,123.1996,Thalatta Dive Resort
304,Contamana,PE,88.09,scattered clouds,-7.3333,-75.0167,Shiringal Touristic Park
308,Pringsewu,ID,75.78,broken clouds,-5.3582,104.9744,Urban Style by Front One
318,Songea,TZ,82.38,overcast clouds,-10.6833,35.65,mtakuja
321,Batticaloa,LK,80.2,broken clouds,7.7102,81.6924,Grand Star Guest House
325,Mvuma,ZW,86.79,scattered clouds,-19.2792,30.5283,Nyangombe Backpackers
326,Hinatuan,PH,77.65,overcast clouds,8.3722,126.3342,Villa Juanita Hinatuan
327,Tual,ID,82.81,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
328,Mayumba,GA,80.06,light rain,-3.432,10.6554,LIKWALE LODGE
330,Toamasina,MG,77.0,scattered clouds,-18.1667,49.3833,Hotel H1
331,Lorengau,PG,82.45,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
332,Touros,BR,88.7,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
344,Palu,ID,75.29,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
345,Namatanai,PG,79.5,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
346,Cabo San Lucas,MX,76.51,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
353,Tefe,BR,87.91,few clouds,-3.3542,-64.7114,Aracati Hotel
357,Lazaro Cardenas,MX,77.04,clear sky,17.9583,-102.2,quinta antigua
359,Hithadhoo,MV,83.84,broken clouds,-0.6,73.0833,Scoop Guest House
372,Waw,SS,80.82,light rain,7.7029,27.9953,Universal Gab Hotel
375,Necochea,AR,76.03,scattered clouds,-38.5473,-58.7368,dyd -mar Hotel
377,Sur,OM,81.63,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
384,Fare,PF,77.61,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
387,Careiro Da Varzea,BR,88.43,light rain,-3.2003,-59.8119,POUSADA DA ALDENORA
388,Kralendijk,BQ,84.18,few clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
395,San Andres,CO,84.22,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
397,Santiago,CL,78.24,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
413,Cairns,AU,75.15,few clouds,-16.9167,145.7667,Mantra Trilogy Cairns
415,Samarai,PG,81.95,scattered clouds,-10.6167,150.6667,Nuli Sapi
421,Posse,BR,88.52,broken clouds,-14.0931,-46.3694,Pousada das Palmeiras
423,Bodden Town,KY,81.0,broken clouds,19.2833,-81.25,Will T Place
424,Camacha,PT,75.52,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
425,Langub,PH,80.35,light rain,10.7981,123.5372,Bonista Beach Resort
427,Phangnga,TH,83.91,overcast clouds,8.4509,98.5298,Sunimit Mansion
435,Lamu,KE,82.62,overcast clouds,-2.2717,40.902,Lamu House
443,Quatre Cocos,MU,78.1,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
447,Natal,BR,88.45,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
449,Vilhena,BR,82.62,clear sky,-12.7406,-60.1458,Hotel Mirage
452,Bairiki,KI,82.4,light rain,1.3292,172.9752,Tarawa Boutique Hotel
453,Karoi,ZW,87.35,overcast clouds,-16.8099,29.6925,Chikangwe Guest houses
454,Mabaruma,GY,84.45,broken clouds,8.2,-59.7833,Monty Brooms Guest House
455,Negombo,LK,78.22,light rain,7.2083,79.8358,Hotel Sunset Beach
456,Caiaponia,BR,87.78,overcast clouds,-16.9567,-51.8103,HOTEL PALACE AVENIDA & CAIAPÓ TURISMO
462,Alyangula,AU,81.54,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
463,San Juan De La Maguana,DO,77.67,few clouds,18.8059,-71.2299,Hotel Maguana
466,Lucea,JM,85.86,overcast clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
468,Kudahuvadhoo,MV,82.92,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
469,Bauru,BR,83.34,clear sky,-22.3147,-49.0606,Vitória Régia Hotel
472,Sabha,LY,81.21,few clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
477,Wamba,NG,89.94,overcast clouds,8.9333,8.6,Roma Zee Guest House Annex
478,Bandundu,CD,85.06,overcast clouds,-3.3167,17.3667,Coja Color
484,Port Blair,IN,81.88,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
485,Dingle,PH,75.87,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
486,Esmeraldas,BR,82.51,overcast clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
488,Kanye,BW,82.42,clear sky,-24.9667,25.3327,The Savanna Lodge
490,Kulhudhuffushi,MV,80.47,overcast clouds,6.6221,73.07,Haajy Guest House 1
492,Doha,QA,88.11,few clouds,25.2867,51.5333,Movenpick Hotel Doha
498,Bali Chak,IN,76.35,clear sky,22.3667,87.55,MG Guest House
499,Brazzaville,CG,85.77,overcast clouds,-4.2658,15.2832,Hotel Muesse
500,Bantogon,PH,79.74,broken clouds,6.5333,124.0333,Kalamansig Greenhome
501,Ritchie,ZA,76.21,clear sky,-29.038,24.6028,Riverside Country Club Modderrivier
502,Ugoofaaru,MV,81.86,overcast clouds,5.6667,73.0,Ungoofaaru Inn
503,Sambava,MG,77.9,few clouds,-14.2667,50.1667,Melrose
507,Vila Franca Do Campo,PT,76.19,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
508,Baghdad,IQ,85.91,broken clouds,33.3406,44.4009,Baghdad Hotel
512,Rodrigues Alves,BR,84.4,few clouds,-7.738,-72.6509,Pousada Aconchego
513,Tautira,PF,75.22,light rain,-17.7333,-149.15,Pension Oaoa
521,Hirara,JP,77.27,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
524,Sulangan,PH,83.26,broken clouds,11.1373,123.7228,Maia's Beach Resort
525,Cayenne,GF,86.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
528,Daru,PG,80.04,broken clouds,-9.0763,143.2092,Daru Lodge
529,Camapua,BR,88.03,clear sky,-19.5314,-54.0439,Comercial Estrela
531,Meulaboh,ID,77.7,overcast clouds,4.1363,96.1285,Kost Pria
533,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
538,Alta Floresta,BR,85.82,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
539,Manggar,ID,82.63,broken clouds,-2.8833,108.2667,Guest Hotel
542,Kandrian,PG,78.1,overcast clouds,-6.2167,149.55,Kandrian Station
551,Omboue,GA,80.58,light rain,-1.5746,9.2618,Hotel Olako
553,Casablanca,MA,80.82,clear sky,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
554,Kerema,PG,77.45,overcast clouds,-7.9631,145.7785,Frena Lodge
555,Ranot,TH,80.82,overcast clouds,7.7777,100.3213,Pakbanglake resort ปากบางเลค รีสอร์ท
565,Myanaung,MM,76.91,overcast clouds,18.2833,95.3167,Taung Hlay Khar
566,Axim,GH,83.23,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
569,Moyo,UG,79.86,light rain,3.6609,31.7247,Amelia Guest House
570,Balabac,PH,82.81,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
572,Sandakan,MY,80.28,few clouds,5.8402,118.1179,Hotel Sandakan
573,Pederneiras,BR,83.98,few clouds,-22.3517,-48.775,Hotel Trevise - Pederneiras
576,Miri,MY,79.66,moderate rain,4.4148,114.0089,"Mega Hotel, Miri"
579,Wewak,PG,81.73,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
580,Tecoanapa,MX,78.13,clear sky,16.5167,-98.75,Hotel Manglares
581,Buchanan,LR,85.96,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
582,Saa,CM,83.73,overcast clouds,4.3667,11.45,Auberge Horizon 2010
589,Acapulco,MX,80.42,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
593,Macae,BR,76.75,overcast clouds,-22.3708,-41.7869,Personal Hotel
595,Jalu,LY,81.25,clear sky,29.0331,21.5482,صاحبة الفخامة
596,Hobyo,SO,81.95,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
605,Tshikapa,CD,87.75,scattered clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
607,Boundiali,CI,89.85,overcast clouds,9.5217,-6.4869,Hotel Paysan Boundiali
609,Dolores,AR,76.75,clear sky,-36.3132,-57.6792,Apart Hotel - Arianos
613,Biak,ID,77.16,overcast clouds,-0.9131,122.8766,Penginapan Kim
619,Simao Dias,BR,88.48,few clouds,-10.7383,-37.8111,Pousada Simãodiense
621,Belmonte,BR,79.3,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
625,Port-Gentil,GA,79.56,light rain,-0.7193,8.7815,Fengshui Residence
636,Cururupu,BR,84.25,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
640,Yara,CU,85.01,light rain,20.2753,-76.9533,Casa de Margarita Puebla Lorente
653,Hervey Bay,AU,77.04,light rain,-25.2986,152.8535,Shelly Bay Resort
656,Sao Luiz Gonzaga,BR,77.34,overcast clouds,-28.4083,-54.9608,"Hotel Ipê ""Sob nova Direção"""
658,Manacapuru,BR,88.38,overcast clouds,-3.2997,-60.6206,Novo Hotel
660,Monrovia,LR,85.77,light rain,6.3005,-10.7969,Sunset Inn
663,Bowen,AU,78.08,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
666,Venado Tuerto,AR,87.78,clear sky,-33.7456,-61.9688,Hotel - Miro Park
671,Palimbang,PH,79.79,overcast clouds,6.2106,124.1894,Felmar Beach resort
672,Kupang,ID,81.16,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
673,Manavalakurichi,IN,80.69,heavy intensity rain,8.1333,77.3,Udaya Boys Hostel
677,Maceio,BR,87.24,broken clouds,-9.6658,-35.7353,Poutur Pousada
679,Alibag,IN,86.07,moderate rain,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
